X0,Y0,X1,Y1,PredProb,PredBinary,Corrected
8651.714,12675.767,8852.917,12876.970,0.031,0,1
8450.511,12876.970,8651.714,13078.172,0.027,0,0
8651.714,12876.970,8852.917,13078.172,0.387,0,1
8450.511,13078.172,8651.714,13279.375,0.028,0,0
8852.917,13078.172,9054.119,13279.375,0.077,0,0
8852.917,13279.375,9054.119,13480.578,0.065,0,0
51507.879,13279.375,51709.081,13480.578,0.132,0,1
8651.714,13480.578,8852.917,13681.780,0.073,0,1
8852.917,13480.578,9054.119,13681.780,0.083,0,0
11267.348,17102.225,11468.551,17303.428,0.048,0,1
11468.551,17102.225,11669.754,17303.428,0.054,0,1
11267.348,17303.428,11468.551,17504.631,0.105,0,1
11468.551,17303.428,11669.754,17504.631,0.143,0,1
11669.754,17303.428,11870.956,17504.631,0.780,1,1
11870.956,17303.428,12072.159,17504.631,0.091,0,1
11468.551,17504.631,11669.754,17705.833,0.352,0,1
11870.956,17504.631,12072.159,17705.833,0.342,0,1
10864.943,17907.036,11066.146,18108.239,0.176,0,0
11066.146,17907.036,11267.348,18108.239,0.150,0,0
11870.956,17907.036,12072.159,18108.239,0.319,0,1
12072.159,17907.036,12273.362,18108.239,0.704,1,1
12072.159,18108.239,12273.362,18309.441,0.266,0,1
10261.335,18510.644,10462.538,18711.847,0.025,0,0
48691.042,18510.644,48892.244,18711.847,0.044,0,1
10261.335,18711.847,10462.538,18913.049,0.049,0,0
10462.538,18711.847,10663.741,18913.049,0.453,1,0
11468.551,18711.847,11669.754,18913.049,0.040,0,0
48691.042,18711.847,48892.244,18913.049,0.197,0,1
48892.244,18711.847,49093.447,18913.049,0.798,1,1
9456.525,19315.455,9657.727,19516.657,0.197,0,0
12474.564,19315.455,12675.767,19516.657,0.113,0,0
9456.525,19516.657,9657.727,19717.860,0.113,0,0
11468.551,19516.657,11669.754,19717.860,0.046,0,0
11669.754,19516.657,11870.956,19717.860,0.073,0,0
12474.564,19516.657,12675.767,19717.860,0.558,1,0
9255.322,19717.860,9456.525,19919.062,0.054,0,0
11468.551,19717.860,11669.754,19919.062,0.031,0,0
11669.754,19717.860,11870.956,19919.062,0.477,1,0
9255.322,19919.062,9456.525,20120.265,0.136,0,0
11669.754,19919.062,11870.956,20120.265,0.480,1,0
12072.159,20723.873,12273.362,20925.076,0.070,0,0
12474.564,20925.076,12675.767,21126.278,0.033,0,0
12072.159,21528.684,12273.362,21729.886,0.021,0,0
12273.362,21528.684,12474.564,21729.886,0.186,0,0
